Foods,Buffs,Cooking time,Hunger/Hyrdation,Resource
Taro Chip (small),Quick energy: +5% stamina & +5% Hp Regen(30s),1m30s,+10 Hunger & -5 Hydration,"3 Taro "
Roasted Sweet Potato slice (small),Steady Stamina: +10% Max stamina & 10% Movement speed (30s),1m30s,+10 Hunger & -8 Hydration,3 Sweet Potato
Taro Dumpling (small),Warm Belly: +4 Hp regen/tick (10s),2m,+10 Hunger & +5 Hydration,4 Taro + 15 water
Purple Taro Cake (medium),Vitality boost: +10% Max HP (1mins),3m,"+15 Hunger ",3 Taro + 1 Corn + 10 Water
Sweet Potato Porridge Bowl (medium),Fortify: +5% Max Hp & + 10% Max Stamina (1m30s),3m,+10 Hunger & +15 Hydration,3 Sweet Potato + 10 Water
Taro Coconut Stew Bowl (large),Powerful: +12% ATK & ATK SPD (2mins),5m,+20 Hunger & +10 Hydration,6 Taro + 20 Water
Whole Roasted Sweet Potato Feast (large),Traverler: +20% Movement spd & +10% Stamina Regen (2mins)                                    Power!: +10% ATK & ATK SPD,7m,"+45 Hunger & +20 Hydration ",10 Sweet Potato + 5 Taro
Bottle of Water,literally a bottle of water (can be use for cooking - 100/100 litre),30s to refill,"+Hydration ",purchase in shop (2000 gold)
Corn Porridge (small),Recovery: +15% Stamina Recovery,1m30s,"+10 Hunger, +10 Hydration",2 Corn + 10 Water
Taro Corn Stew Bowl (large),Powerful: +8% ATK & ATK SPD (2mins),5m,"+15 Hunger, +10 Hydration",4 Taro + 3 Corn + 20 Water
